President,Birth State,Death State,University,Highest Degree Held,Religion,Occupation,Military Service,Term,Party,Vice President,Previous Office,has_higher_education,previous_office_group,era,Portrait,Summary
Theodore Roosevelt,New York,New York,Harvard University,Bachelors,Dutch Reformed,"Public Official, Rancher, Author",Colonel,1901-1909,Republican,Charles Fairbanks,Vice President,TRUE,Vice President,Industrial Expansion,https://tile.loc.gov/storage-services/service/pnp/cph/3a50000/3a53000/3a53200/3a53299r.jpg,"When McKinley was shot, Theodore Roosevelt became the youngest ever president of the United States, at the age of forty-two. A popular war hero from the Spanish-American War in which he led the famous Rough Rider Regiment on the charge up Cuba's San Juan Hill, Roosevelt had a reputation for courage, boundless energy, and idealism, which he amply demonstrated as president. Despite his wealthy origins, Roosevelt felt that it was his duty to protect American workers from the power of wealthy business interests. When Pennsylvania coal miners went on strike for higher wages in 1902, Roosevelt supported the workers and threatened to close down the mines unless the owners agreed to negotiate; he brought both sides to Washington, where the miners won many of their demands. A strong believer in racial equality, Roosevelt was the first president to dine with an African American in the White House. His guest was Booker T. Washington, renowned educator and principal of the Tuskegee Institute in Alabama. In 1904 Roosevelt was decisively reelected to his second term, during which he continued to support workers and average Americans by crusading as a ""Trust Buster"" against the unfair price-setting practices of big business. He went after railroad corruption with the Elkins Act, endorsed the Pure Food and Drug Act, and encouraged the vigorous lifestyle he and his large family so enjoyed by doubling the number of national parks and adding 150 million acres to the nation's forest reserve. Although Roosevelt was fond of hunting wild game, his refusal to shoot a captured bear cub on a hunting trip in Mississippi inspired the stuffed toy known today as the teddy bear. Roosevelt's mediation of the Russo-Japanese War won him a 1906 Nobel Peace Prize."
William Howard Taft,Ohio,District of Columbia,University of Cincinatti,Bachelors,Unitarian,"Judge, Dean of Law School",No Service,1909-1913,Republican,James Sherman,Chief Justice,TRUE,Judicial,Industrial Expansion,https://tile.loc.gov/storage-services/service/pnp/cph/3a50000/3a53000/3a53300/3a53300v.jpg,"Friendly and good-natured, William Howard Taft pursued the White House with the encouragement of Theodore Roosevelt. The energetic former president was a hard act to follow, but Taft's administration turned out to be an active one. Along with the continued prosecution of unfair business practices under the Sherman Antitrust Act, the country saw the establishment of the postal savings bank, the parcel-post system, and the adoption of the Sixteenth Amendment calling for the collection of income tax. Taft was the first president to buy automobiles for the White House, and he created the presidential tradition of throwing out the first ball on opening day of the baseball season. After facing a rough reelection campaign in 1912, Taft declared himself happy to leave the White House. In 1921, he was appointed chief justice of the Supreme Court and subsequently swore presidents Calvin Coolidge and Herbert Hoover into office."
Woodrow Wilson,Virginia,District of Columbia,Johns Hopkins University,PhD,Presbyterian,"Professor, Political scientist",No Service,1913-1921,Democratic,Thomas Marshall,Governor of New Jersey,TRUE,Governor,World Wars,https://tile.loc.gov/storage-services/service/pnp/cph/3a50000/3a55000/3a55000/3a55007v.jpg,"Woodrow Wilson brought a brilliant intellect, strong moral convictions, and a passion for reform to his two terms as president. The ideas he brought with him had been developed during an earlier career as professor of political economy, president of Princeton University, and governor of New Jersey. On the domestic front, Wilson established economic reforms and presided over two Constitutional amendments: the 18th, which instituted the prohibition of alcohol, and the 19th, which granted women the right to vote. His strong belief in peace and international cooperation could not keep the United States from entering World War I, and though Wilson provided effective wartime leadership, he put equal effort into crafting the postwar peace agreement and providing the vision for a new League of Nations. Though his efforts won him a Nobel Peace Prize, his dogged pursuit of an idealistic moral vision was not universally popular and was thwarted by Congress. After suffering a debilitating stroke in 1919, Wilson relied heavily on his wife, Edith, to help run the White House for the remainder of his term."
Warren G. Harding,Ohio,California,Ohio Central College,Bachelors,Baptist,Newspaper Publisher/Editor,No Service,1921-1923,Republican,Calvin Coolidge,Senator (OH),TRUE,Legislative,World Wars,https://tile.loc.gov/storage-services/service/pnp/cph/3a50000/3a53000/3a53300/3a53301v.jpg,"Campaigning on the theme ""Back to Normalcy,"" Warren G. Harding promised the American people a rest from the policies of war. Harding did not use the power of his office well, ceding much to the will of Congress, who passed legislation to limit immigration, raised tariffs to their highest rate ever, and--with the assistance of Secretary of the Treasury Andrew Mellon--reduced income taxes and the national debt. It was Harding's trusted advisors, however, members with whom he regularly played poker and drank boot legged liquor, who turned his term in office into a scandal-ridden mess. The most well-known was the Teapot Dome Affair, in which the Secretary of the Interior took a large payoff in return for drilling rights to federal land. There was also corruption in the Office of the Alien Property Custodian, the Veteran's Bureau, and elsewhere in the administration. Harding was never directly implicated in any of these scandals, and before being fully investigated, he died suddenly in San Francisco in his last year in office. The truth about Harding's involvement in the graft that marred his administration may never be known--after the president's death, his wife hurried back to the White House and burned all of his official correspondence."
Calvin Coolidge,Vermont,Massachusetts,Amherst College,Bachelors,Congregationalist,"Lawyer, Banker",No Service,1923-1929,Republican,Charles Dawes,Vice President,TRUE,Vice President,World Wars,https://tile.loc.gov/storage-services/service/pnp/cph/3a50000/3a53000/3a53300/3a53302v.jpg,"Calvin Coolidge took office after Warren G. Harding's sudden--and some say mysterious--death. ""Silent Cal"" was reserved and honest, and his incorruptible presence was such a relief after the sordid goings-on of the previous administration that he easily won the 1924 election. The American economy was in the midst of ""The Roaring Twenties,"" with a booming stock market and easy credit, and Coolidge felt that a ""hands off"" government would keep the economy going strong. Even the murmerings of an agricultural depression causing farm foreclosures in the last years of his presidency did not cause Coolidge to involve the government in financial matters, and he remained popular to the end of his term in office."
Herbert Hoover,Iowa,New York,Stanford University,Bachelors,Society of Friends (Quaker),Engineer,No Service,1929-1933,Republican,Charles Curtis,Secretary of Commerce,TRUE,Cabinet,World Wars,https://tile.loc.gov/storage-services/service/pnp/cph/3a20000/3a25000/3a25100/3a25105v.jpg,"History might have a very different opinion of Herbert Hoover if he hadn't happened to preside over one of America's worst financial disasters. Hoover began his term at the tail end of a decade of unprecedented prosperity. However, rampant speculation led to the stock market crash of 1929, ushering in an era of severe economic depression. Though Hoover, a self-made millionaire and engineering magnate, attempted to bring some relief to the country's ailing financial institutions, he felt it was not the government's place to directly assist the individuals and families who were adversely affected by the hard times. Fairly or unfairly, he was blamed for the worsening depression and voted out of office after one term. Ironically, Hoover is also remembered for his brilliant administration of food and other types of aid during World War I, and again after World War II."
Franklin D. Roosevelt,New York,Georgia,Harvard University,Bachelors,Episcopalian,Lawyer,No Service,1933-1945,Democratic,"John Garner , Henry Wallace, Truman",Governor of New York,TRUE,Governor,World Wars,https://tile.loc.gov/storage-services/service/pnp/cph/3c10000/3c17000/3c17100/3c17121v.jpg,"Franklin D. Roosevelt was the product of a powerful political family that had already sent one of its members, Theodore, to the White House. Bred for public service, his career began early with forays into New York State politics. In 1921, a bout with polio paralyzed his lower body, a condition with which Roosevelt would struggle, mentally and physically, for the rest of his life. Despite this setback, his political star continued to rise with his election to governor of New York in 1928 and president in 1932. Roosevelt's immediate task upon entering the White House was to grapple with the Great Depression, which, to the relief of American citizens, he tackled enthusiastically, if not always effectively. Together with his ""Brain Trust"" of top policymakers and his influential wife Eleanor Roosevelt, he enacted a multitude of government programs designed to shore up the economy and provide relief to millions of destitute Americans. One controversial result of this activism was a much-enlarged and empowered federal government. Though not universally liked, Roosevelt nevertheless proved popular enough to be elected to an unprecedented four terms. By 1941, early in Roosevelt's third term, the looming world war was commanding more attention; but the United States was caught flat-footed by Japan's attack on Pearl Harbor. Roosevelt rallied the country once again, creating a wartime industrial machine that helped clinch the war for the Allies, revive the American economy, and thrust the United States into a new status as a world superpower. By the war's end, Roosevelt's health was failing, and he died in 1945. He will long be remembered as one of the country--and the world's--most powerful and influential statesmen."
Harry S. Truman,Missouri,Missouri,University of Missouri,No Degree,Baptist,"Farmer, Men'S Clothing Retailer",Colonel of the U.S. Army,1945-1953,Democratic,Alben Barkley,Vice President,FALSE,Vice President,World Wars,https://tile.loc.gov/storage-services/service/pnp/cph/3c10000/3c17000/3c17100/3c17122v.jpg,"When Franklin D. Roosevelt died suddenly in 1945, the war in Europe was nearing its close; but as Vice President Harry Truman moved into the White House, he found himself facing the war in the Pacific, where the Japanese were refusing to surrender. Rather than risk the lives of more U.S. servicemen, Truman made the agonizing decision to drop atomic bombs on the Japanese cities of Hiroshima and Nagasaki. At least 100,000 people were killed instantly, and the war was over within days. Truman then faced the job of dealing with millions of returning service-people with the GI Bill, offering education and training for a peacetime economy. His Fair Deal initiative also included proposals for national medical insurance and civil rights legislation, but both were defeated in Congress and it would be long time before either were discussed again. Truman went against the odds to win a second term in 1948, surprising everyone with his upset of popular New York Governor Thomas Dewey. With Europe rebuilding itself and Stalin establishing communist governments in Eastern Europe, Truman proposed to stop the spread of communism by promising American support to any country fighting communists, the Truman Doctrine. Later that year, secretary of state George Marshall proposed the Marshall Plan, which would provide grants to rebuild war-torn European countries. Stalin criticized these plans, and the seeds of the Cold War were sown. When communist North Korea attempted to take over South Korea in 1950, the Truman Doctrine was called into play; American troops were once again sent overseas, this time under the command of General Douglas MacArthur, with orders to liberate South Korea. But the general went a step beyond his orders, invading the border of North Korea, which prompted the Communist Chinese to send their troops into the action. Truman angrily relieved MacArthur of his command for disobeying orders, an unpopular move which ultimately led to Truman's decision to decline his party's nomination in 1952."
Dwight D. Eisenhower,Texas,District of Columbia,United States Military Academy,Bachelors,Presbyterian,"Soldier, General",General of the U.S. Army,1953-1961,Republican,Richard Milhous Nixon,Sup. Allied Commander Europe,TRUE,Military Leadership,Cold War,https://tile.loc.gov/storage-services/service/pnp/cph/3c10000/3c17000/3c17100/3c17123v.jpg,"Dwight D. Eisenhower's success in the European Theater of Operations during World War II led to his appointment as Supreme Allied Commander in Europe--the organizer of the D-Day invasion of Normandy that helped bring about Germany's surrender. When the genial war hero ran for president on a promise to end the Korean War, the voting public made it clear that they did, in fact, like Ike. The eight years Eisenhower spent in office were for the most part calm, prosperous years for the country, with the healthiest economy since the 1920s. But there were volatile issues for the president to deal with, as well. Senator Joseph McCarthy of Wisconsin, was so intent on ferreting out supposed communists within the State Department that he ruined the careers of many innocent people. The president also had to handle intensifying civil rights issues, such as the South's defiant reaction to the Supreme Court-ordered desegregation of schools, causing him to send federal troops to escort the African American students to school. The space race began on Eisenhower's watch when the Soviet Union beat America into space with Sputnik I, the first satellite into space. In order to bring the American space program up to speed, the president approved a new congressional program to bring talented young scientists into the field of space technology."
John F. Kennedy,Massachusetts,Texas,Harvard University,Bachelors,Roman Catholic,"U.S. Navy Officer, Author",Lieutenant of the U.S. Navy,1961-1963,Democratic,Lyndon Johnson,Senator (MA),TRUE,Legislative,Cold War,https://tile.loc.gov/storage-services/service/pnp/ppmsca/38600/38698v.jpg,"When an assassin's bullet cut short John Kennedy's presidency in November 1963, the country experienced a collective sense of loss that it had not known since the death of Lincoln. But the grief was not so much inspired by a long litany of presidential accomplishments as it was an expression of what Kennedy had come to represent. To be sure, his administration could claim notable triumphs in foreign policy, including its successful face-off with the Soviets over the presence of missiles in Cuba. Its support for the civil rights movement had, moreover, contributed significantly to a climate that would soon give birth to landmark legislation promoting racial equality. The main source of grief over Kennedy's death, however, was the eloquence and vigorous idealism that he had brought to his presidency and that made him, in the eyes of many, the embodiment of this country's finest aspirations."
Lyndon B. Johnson,Texas,Texas,Southwest Texas State Teachers College,Bachelors,Disciples of Christ,"Teacher, Public Official",Commander of the U.S. Navy,1963-1969,Democratic,Hubert Humphrey,Vice President,TRUE,Vice President,Cold War,https://tile.loc.gov/storage-services/service/pnp/cph/3a50000/3a53000/3a53300/3a53305v.jpg,"Few individuals have managed to harness the forces of American politics to better advantage or with greater relish than Lyndon B. Johnson. Thus, when he surrendered his position as Senate majority leader to become John Kennedy's Vice President in 1961, it was inevitable that Johnson should bridle at the political limbo of his new office. Johnson's instincts for power, however, survived that limbo. When Kennedy's death put him in the White House in 1963, his ability to get what he wanted was soon yielding a string of landmark legislation that included a far-reaching civil rights act, health insurance for the elderly, and a federally funded ""war on poverty."" Unfortunately, his administration's war against Communist aggression in Vietnam overshadowed those successes. By the end of his presidency, anger over the war was inspiring protests across the country, and Johnson had gone from being one of the most successful Presidents in history to being one of the most maligned."
Richard Nixon,California,New York,Duke University,Juris Doctor,Society of Friends (Quaker),"Lawyer, Public Official",Commander of the U.S. Navy,1969-1974,Republican,"Spiro Agnew , Gerald R. Ford",Vice President,TRUE,Vice President,Cold War,https://tile.loc.gov/storage-services/service/pnp/cph/3a50000/3a53000/3a53300/3a53306v.jpg,"Richard Nixon owed his early prominence and election as Dwight Eisenhower's Vice President to his reputation as an anti-Communist militant. By the time he became President in 1968, however, his thinking about relationships between the Communist and free worlds had shifted considerably. As a result, under his leadership, the confrontational strategies that had long dominated this country's response to Communism gave way to a historic détente, marked by American recognition of Communist China and warmer relations with the Soviet Union. Unfortunately, these diplomatic achievements were eventually overshadowed by disclosure of the Watergate scandals a web of illegal activity involving scores of Nixon's advisers. Though never implicated in the original crimes themselves, Nixon did become party to attempts to cover them up. Following irrefutable disclosure of that fact, he became the only President ever to resign from office."
Gerald Ford,Nebraska,California,Yale Law School,Bachelors,Episcopalian,"Lawyer, Public Official",Lt. Commander of the U.S. Navy,1974-1977,Republican,Nelson Rockefeller,Vice President,TRUE,Vice President,Cold War,https://tile.loc.gov/storage-services/service/pnp/ppmsc/02800/02800v.jpg,"Gerald Ford was perfectly happy with his lot as a Michigan congressman and House minority leader. When revelations of misconduct forced Spiro Agnew to resign the vice presidency in 1973, however, Ford's congressional career abruptly ended with his appointment by President Richard Nixon to succeed Agnew. Within a year, Ford's political fortunes took yet another sharp turn. On August 9, 1974, with Nixon himself forced to resign from office amid charges of wrongdoing, Ford became the only unelected Vice President to succeed to the White House. Ford's pardoning of Nixon shortly thereafter drew angry criticism. Nevertheless, Ford's conciliatory leadership succeeded in restoring a much-eroded confidence in the presidency. Summarizing the orderly way he came to office despite the unsettling events that put him there, he had said at his swearing-in: ""Our Constitution works."" In large measure, it was Ford who insured that it did."
Jimmy Carter,Georgia,Georgia,United States Naval Academy,Bachelors,Baptist,"Navy Officer, Peanut Farmer",Lieutenant of the U.S. Navy,1977-1981,Democratic,Walter Mondale,Governor of Georgia,TRUE,Governor,Cold War,https://tile.loc.gov/storage-services/service/pnp/cph/3b50000/3b52000/3b52000/3b52090r.jpg,"In the early stages of the 1976 presidential campaign, the experts hardly gave a second thought to Jimmy Carter's chances of winning the Democratic nomination, much less the White House. But the former Georgia governor's can-do, Washington outsider's image, along with his conservative populism, had great voter appeal, and in the final poll he emerged triumphant. Unfortunately, Carter did not prove as effective in the presidency as he had on the stump. He was, moreover, blamed for problems, such as runaway inflation, that were mostly beyond his control. Nevertheless, his administration had some unalloyed successes, including the landmark peace agreement between Egypt and Israel that would probably never have been reached without Carter's own dogged determination to make it happen."
Ronald Reagan,Illinois,California,Eureka College,No Degree,Christian,"Actor, Union leaser",Captain of the U.S. Army,1981-1989,Republican,George H. W. Bush,Governor of California,TRUE,Governor,Cold War,https://tile.loc.gov/storage-services/service/pnp/cph/3a50000/3a53000/3a53300/3a53308v.jpg,"When ex-California governor Ronald Reagan began his presidency in 1981, his warmth and skill in handling the media had already planted the seeds of his reputation as the ""great communicator."" More significant, however, was how those traits were made to work on behalf of his conservative agenda. By the end of his second term, despite widespread concern over budget deficits and several administration scandals, Reagan's presidency had wrought many significant changes, heartily endorsed by the public at large. Under his leadership, the nation had undergone major tax reforms, witnessed a significant easing of relations with the Communist world, and experienced a sharp upturn in prosperity. In the wake of these developments, Reagan left office enjoying a popularity that only a few of his outgoing predecessors had ever experienced."
George H. W. Bush,Texas,Texas,Yale University,Bachelors,Episcopalian,Businessman (Oil),Lieutenant of the U.S. Navy,1989-1993,Republican,James Danforth Quayle,Vice President,TRUE,Vice President,Cold War,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b46000/3b46100/3b46147v.jpg,"In the early 1960s, George Bush presided over a thriving oil business in Houston, Texas. Had he continued with that enterprise, his then-modest fortune might have grown immense. Instead, he turned to politics. By 1980, when he was elected Ronald Reagan's Vice President, he had served as ambassador to the United Nations, envoy to China, and director of the Central Intelligence Agency. In the process, White House aspirations had taken hold, and in 1988, thanks largely to his identification with the popular Reagan, he claimed the presidency. Bush proved most sure-footed in foreign policy, where, according to one observer, he proved a master of both ""timing and substance."" More widely traveled than any other President, he managed the policy transitions prompted by the collapse of the Soviet Union and the end of the Cold War. Perhaps his greatest success was the alliance he crafted to thwart Iraq's forceful takeover of Kuwait in 1990."
Bill Clinton,Arkansas,,Yale Law School,Juris Doctor,Baptist,"Lawyer, Law Lecturer",No Service,1993-2001,Democratic,Al Gore,Governor of Arkansas,TRUE,Governor,Modern Day,https://tile.loc.gov/storage-services/service/pnp/cph/3c00000/3c07000/3c07700/3c07700v.jpg,"William Clinton, then governor of Arkansas, was elected to the presidency in 1992 and went on to help create an unprecedented time of peace and economic prosperity in the United States. Among the successes of his presidency were achieving the lowest unemployment rate in modern times, managing an overhaul of the economic system, and proposing the first balanced budget in decades. In his second year, after the failure of his health care reform program, Clinton displayed a marked shift in focus announcing that ""the era of big government is over."" In the international arena, Clinton defended an expanded NATO, successfully sent peace-keeping forces to war-torn Bosnia, and responded with attacks on Iraq when Saddam Hussein halted U.N. inspections for nuclear, biological, and chemical weapons. The only Democratic president since Franklin D. Roosevelt to win a second term, Clinton's administration was plagued by investigations and personal scandals. On December 18, 1998, the House of Representatives voted to impeach William J. Clinton on charges of perjury and obstruction of justice stemming from the president's testimony in a civil suit and his statements regarding his relationship with a White House intern. The debate largely focused on whether his crimes, if real, rose to the level of an impeachable offense. The Senate found him not guilty of the charges brought against him."
George W. Bush,Texas,,Harvard Business School,Masters,Methodist,"Businessman (Oil, Baseball)",Lieutenant of the U.S. Air Force,2001-2009,Republican,Richard Cheney,Governor of Texas,TRUE,Governor,Modern Day,https://tile.loc.gov/storage-services/service/pnp/ppbd/00300/00371v.jpg,"The son of former President and Mrs. George Bush, George W. Bush grew up in Midland and Houston, Texas. After earning degrees at Yale and the Harvard Business School, he returned to his home state to lead a Midland, Texas-based oil and gas company from the mid-1970s through the 1980s. In 1989, Bush led a group of partners to purchase the Texas Rangers, a major league baseball team, and served as managing general partner of the Rangers before embarking on a political career with a successful bid for the Texas governorship in 1994. Reelected as governor in 1998, he decided to seek the Republican party's presidential nomination in 2000. Bush proved an instant hit with Republican voters, easily defeating his opponents in a well-run primary race. The fall election campaign proved unusually tight, with his Democratic opponent Vice President Albert Gore winning the popular vote by a small margin but Bush edging him out in the electoral college to win the presidency. Disputes over ballot-counting in Florida delayed resolution of the election until December 12, when the U.S. Supreme Court ruled in Bush's favor and ended further appeals. With his election, Bush and his father became only the second father and son to hold the nation's highest office--preceded only by John Adams and John Quincy Adams. Bush was re-elected in 2004."
Barack Obama,Hawaii,,Harvard Law School,Juris Doctor,Unaffiliated Christian,Law Professor,No Service,2009-2017,Democratic,Joseph Biden,Senator (IL),TRUE,Legislative,Modern Day,https://tile.loc.gov/storage-services/service/pnp/ppbd/00300/00358v.jpg,"Born in Honolulu, Hawaii, Barack Obama earned degrees from both Columbia University and Harvard Law School. He served three terms in the Illinois senate from 1997-2004 and represented the state of Illinois in the United States Senate from 2005-2008. On January 20, 2009 Barack Obama became the first African American to be sworn into the office of president of the United States. He was re-elected in 2012."
Donald Trump,New York,,Wharton School of the University of Pennsylvania,Bachelors,Presbyterian,Real estate,No Service,"2017-2021, 2025-",Republican,"Michael R. Pence, James David Vance",None,TRUE,No Major Prior Office Listed,Modern Day,https://tile.loc.gov/storage-services/service/pnp/ppbd/00600/00608v.jpg,"Donald Trump was born in Queens, New York and earned a degree in Economics at the Wharton School of Finance at the University of Pennsylvania. After a long career in multiple business enterprises including real estate development, sports management, television production, and writing, he entered politics. In 2000, Trump ran a brief campaign for the Reform Party’s nomination for president. Fifteen years later, he entered the presidential race as a Republican winning the office in 2016. Defeated in his 2020 re-election bid, Trump ran again in 2024 becoming only the second president in US history to be elected to two non-consecutive terms."
Joe Biden,Delaware,,Syracuse University College of Law,Juris Doctor,Roman Catholic,Lawyer,No Service,2021-2025,Democratic,Kamala Harris,Vice President,TRUE,Vice President,Modern Day,https://tile.loc.gov/storage-services/service/pnp/ppbd/01200/01261v.jpg,"Joseph R. Biden Jr. grew up in Scranton, Pennsylvania, and Claymont, Delaware. After earning a degree in History and Political Science from the University of Delaware, he attended the Syracuse University College of Law. Upon graduation, Biden practiced law, including time as a public defender, and was elected to his first office as a member of the New Castle County Council. In 1972, Biden, only 29 years old, was elected to the United States Senate, where he served for 36 years. After brief presidential campaigns in 1988 and 2008, Biden was elected to two terms as vice president, serving 2008-2017. He was successful in his third bid for the presidency in 2020. Having initially declared his intent to seek a second term, Biden withdrew from the 2024 race prior to the Democratic National Convention."
