President,Birth State,Death State,University,Highest Degree Held,Languages,# Countries Visited as President
George Washington,Virginia,Virginia,None,None,1,0
John Adams,Massachusetts,Massachusetts,Harvard University ,Master of Arts,3,0
Thomas Jefferson,Virginia,Virginia,The College of William & Mary ,Bachelors,5.5,0
James Madison,Virginia,Virginia,Princeton University,Bachelors,1,0
James Monroe,Virginia,New York,The College of William & Mary ,None,2,0
John Quincy Adams,Massachusetts,D.C.,Harvard University ,Masters,6.5,0
Andrew Jackson,Tennessee,Tennessee,None,None,1,0
Martin Van Buren,New York,New York,None,None,2.5,0
William Henry Harrison,Virginia,D.C.,University of Pennsylvania ,None,2.5,0
John Tyler,Virginia,Virginia,The College of William & Mary ,Unknown,3,0
James K. Polk,North Carolina,Tennessee,University of North Carolina at Chapel Hill ,Bachelors,3,0
Zachary Taylor,Virginia,D.C.,None,None,1,0
Millard Fillmore,New York,New York,None,None,1,0
Franklin Pierce,New Hampshire,New Hampshire,Bowdoin College,Bachelors,1,0
James Buchanan,Pennsylvania,Pennsylvania,Dickinson College ,Bachelors,3,0
Abraham Lincoln,Illinois,D.C.,None,None,1,0
Andrew Johnson,North Carolina,Tennessee,None,None,1,0
Ulysses S. Grant,Ohio,New York,United States Military Academy ,Bachelors,1,0
Rutherford B. Hayes,Ohio,Ohio,Harvard Law School,Bachelors,3.5,0
James A. Garfield,Ohio,New Jersey,Williams College ,Bachelors,3,0
Chester A. Arthur,New York,New York,Union College ,Bachelors,3,0
Grover Cleveland,New York,New Jersey,None,None,1,0
Benjamin Harrison,Indiana,Indiana,Miami University ,Bachelors,1,0
William McKinley,Ohio,New York,Albany Law School,None,1,0
Theodore Roosevelt,New York,New York,Harvard University ,Bachelors,5.5,1
William Howard Taft,Ohio,D.C.,University of Cincinatti,Bachelors,1,1
Woodrow Wilson,Virginia,D.C.,Johns Hopkins University,PhD,2,5
Warren G. Harding,Ohio,California,Ohio Central College ,Bachelors,1,1
Calvin Coolidge,Vermont,Massachusetts,Amherst College ,Bachelors,1,1
Herbert Hoover,Iowa,New York,Stanford University ,Bachelors,2.5,0
Franklin D. Roosevelt,New York,Georgia,Harvard University ,Bachelors,3.5,25
Harry S. Truman,Missouri,Missouri,University of Missouri,None,1,7
Dwight D. Eisenhower,Texas,D.C.,United States Military Academy ,Bachelors,1,27
John F. Kennedy,Massachusetts,Texas,Harvard University ,Bachelors,1,14
Lyndon B. Johnson,Texas,Texas,Southwest Texas State Teachers College ,Bachelors,1,20
Richard Nixon,California,New York,Duke University,Juris Doctor,1,34
Gerald Ford,Nebraska,California,Yale Law School,Bachelors,1,19
Jimmy Carter,Georgia,Georgia,United States Naval Academy ,Bachelors,2,25
Ronald Reagan,Illinois,California,Eureka College ,None,1,26
George H. W. Bush,Texas,Texas,Yale University ,Bachelors,1,38
Bill Clinton,Arkansas,,Yale Law School,Juris Doctor,2,73
George W. Bush,Texas,,Harvard Business School,Masters,1.5,75
Barack Obama,Hawaii,,Harvard Law School,Juris Doctor,1,58
Donald Trump,New York,,Wharton School of the University of Pennsylvania,Bachelors,1,59
Joe Biden,Delaware,,Syracuse University College of Law,Juris Doctor,1,27